Internship_id,Internship_Title,Company_Name,Industry,Company_Type,Internship_Type,City,State,Work_Mode,Department,Duration,Stipend_Min,Stipend_Max,Source_Platform,Post_Link,Duration_Months,Duration_Category,Stipend_Status,Average_Stipend
A1,HR Admin,Gaitworks Integrated Private Limited,,Private Limited,Not Specified,Gurgaon,Haryana,Not Specified,HR Operations,6,10000.0,15000.0,Internshala,https://internshala.com/internship/detail/human-resource-office-administration-internship-in-gurgaon-at-gaitworks-integrated-private-limited1784694727,6.0,Long-term,Paid,12500.0
A2,HR Admin,Sykam Assets Management Private Limited,,Not Specified,Not Specified,Hyderabad,Telangana,Not Specified,HR Operations,4,7000.0,7001.0,Internshala,https://internshala.com/internship/detail/hr-admin-internship-in-hyderabad-at-sykam-assets-management-opc-private-limited1782900829,4.0,Medium-term,Paid,7000.5
A3,Human Resources,Sanyukt Organisation,NGO,NGO,Not Specified,,,Remote,Talent Acquisition & Recruitment,1,0.0,,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-sanyukt-organisation1785685827,1.0,Short-term,Unpaid,
A4,Recruitment Consultant,Reliable Allied Services,,Not Specified,Not Specified,,Delhi,Not Specified,Talent Acquisition & Recruitment,6,6500.0,12000.0,Internshala,https://internshala.com/internship/detail/recruitment-consultant-internship-in-multiple-locations-at-reliable-allied-services1785330250,6.0,Long-term,Paid,9250.0
A5,Human Resources,ViralChilly,,Not Specified,Not Specified,Jaipur,Rajasthan,Not Specified,Talent Acquisition & Recruitment,4,3000.0,5000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-jaipur-at-viralchilly1785733327,4.0,Medium-term,Paid,4000.0
A6,Human Resources,Pi42,Fintech,Startup,Not Specified,Bangalore,Karnataka,Not Specified,Talent Acquisition & Recruitment,6,20000.0,25000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-bangalore-at-pi421785758562,6.0,Long-term,Paid,22500.0
A7,Human Resources,Absolute People Screen Private Limited,,Not Specified,Not Specified,Faridabad,Haryana,Not Specified,Talent Acquisition & Recruitment,6,11000.0,14000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-absolute-people-screen-private-limited1784268254,6.0,Long-term,Paid,12500.0
A8,Human Resources,Futurewise Technologies Private Limited,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,4,6000.0,8000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-futurewise-technologies-private-limited1784719135,4.0,Medium-term,Paid,7000.0
A9,Human Resources,Hope Behind Tails Foundation,NGO,NGO,Not Specified,,,Remote,Talent Acquisition & Recruitment,3,0.0,,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-hope-behind-tails-foundation1785756444,3.0,Medium-term,Unpaid,
A10,Human Resources,Astrorize,,Not Specified,Not Specified,Hyderabad,Telangana,Hybrid,Talent Acquisition & Recruitment,6,7000.0,14000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-astrorize1785745701,6.0,Long-term,Paid,10500.0
A11,Human Resources,Grasim Industries Limited,Manufacturing,MNC,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,5000.0,8000.0,Internshala,https://internshala.com/internship/detail/hr-internship-in-mumbai-at-grasim-industries-limited1785497508,6.0,Long-term,Paid,6500.0
A12,Human Resources,Atlas Copco India Private Limited,Manufacturing,MNC,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,24000.0,25000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-atlas-copco-india-private-limited1785476482,6.0,Long-term,Paid,24500.0
A13,Human Resources,Justdial Limited,IT / Internet,MNC,Not Specified,Chennai,Tamil Nadu,Not Specified,Talent Acquisition & Recruitment,6,10000.0,20000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-chennai-at-justdial-limited1785328025,6.0,Long-term,Paid,15000.0
A14,Human Resources,SOS Children's Villages of India,NGO,NGO,Not Specified,,Delhi,Not Specified,Talent Acquisition & Recruitment,1,0.0,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-sos-childrens-villages-of-india1785320168,1.0,Short-term,Unpaid,
A15,Talent Acquisition,Sharda Motors Industries,,Not Specified,Not Specified,Delhi,Delhi,Hybrid,Talent Acquisition & Recruitment,2,2000.0,,Internshala,https://internshala.com/internship/detail/part-time-talent-acquisition-internship-in-okhla-at-sharda-motors-industries1785240260,2.0,Short-term,Paid,
A16,Recruitment,Team Management Services,,Not Specified,Not Specified,Thane,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,7000.0,10000.0,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-multiple-locations-at-team-management-services-tms1785233265,6.0,Long-term,Paid,8500.0
A17,HR Operations,Team Management Services,,Not Specified,Not Specified,Thane,Maharashtra,Not Specified,HR Operations,6,7000.0,10000.0,Internshala,https://internshala.com/internship/detail/operations-internship-in-multiple-locations-at-team-management-services-tms1785233185,6.0,Long-term,Paid,8500.0
A18,HR Trainee,Aarti Pharmalabs Limited,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,8000.0,10000.0,Internshala,https://internshala.com/internship/detail/hr-trainee-internship-in-mumbai-at-aarti-pharmalabs-limited1785216369,6.0,Long-term,Paid,9000.0
A19,Human Resources,Mahindra & Mahindra Financial Services,BFSI,MNC,Not Specified,Bhopal,Madhya Pradesh,Not Specified,Talent Acquisition & Recruitment,6,10000.0,14500.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-bhopal-at-mahindra-mahindra-financial-services1784898951,6.0,Long-term,Paid,12250.0
A20,Human Resources,BVC Logistics,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,10000.0,15000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-bvc-logistics1784880471,6.0,Long-term,Paid,12500.0
A21,Human Resources,The Belgian Waffle Co.,,Not Specified,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,10000.0,12000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-the-belgian-waffle-co1784871236,6.0,Long-term,Paid,11000.0
A22,Human Resources,Team Management Services,,Not Specified,Not Specified,Thane,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,7000.0,10000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-team-management-services-tms1784807147,6.0,Long-term,Paid,8500.0
A23,Human Resources,Easy Home Finance,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,5000.0,10000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-easy-home-finance1784523921,3.0,Medium-term,Paid,7500.0
A24,Human Resources,Raam Group,,Not Specified,Not Specified,Hyderabad,Telangana,Not Specified,Talent Acquisition & Recruitment,3,15000.0,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-hyderabad-at-raam-group1784025042,3.0,Medium-term,Paid,
A25,Human Resources,Talent Corner HR Services,,Not Specified,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,5000.0,6000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-talent-corner-hr-services1785642714,3.0,Medium-term,Paid,5500.0
A26,HR Admin,GenElek Technologies Private Limited,,Not Specified,Not Specified,,Delhi,Not Specified,HR Operations,2,10000.0,15000.0,Internshala,https://internshala.com/internship/detail/hr-admin-internship-in-delhi-at-genelek-technologies-private-limited1785758619,2.0,Short-term,Paid,12500.0
A27,Human Resources,Metnmat Research,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,10000.0,10001.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-metnmat-research1785751970,6.0,Long-term,Paid,10000.5
A28,HR Generalist,Stirring Minds,,Not Specified,Not Specified,,Delhi,Not Specified,HR Operations,6,7000.0,10000.0,Internshala,https://internshala.com/internship/detail/generalist-hr-internship-in-delhi-at-stirring-minds1785750208,6.0,Long-term,Paid,8500.0
A29,Human Resources,Stirring Minds,,Not Specified,Not Specified,,Delhi,Not Specified,Talent Acquisition & Recruitment,6,7000.0,10000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-stirring-minds1785738504,6.0,Long-term,Paid,8500.0
A30,Human Resources,Bizknowmics,,Not Specified,Not Specified,Chennai,Tamil Nadu,Not Specified,Talent Acquisition & Recruitment,3,15000.0,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-chennai-at-bizknowmics1785485072,3.0,Medium-term,Paid,
A31,Human Resources,iFlame Consulting,,Consulting,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,7000.0,10000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-iflame-consulting1785407939,3.0,Medium-term,Paid,8500.0
A32,Human Resources,Eduminatti,Education,Startup,Not Specified,Roorkee,Uttarakhand,Not Specified,Talent Acquisition & Recruitment,2,2000.0,2500.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-roorkee-at-eduminatti1784608999,2.0,Short-term,Paid,2250.0
A33,Human Resources,HumanHire Corp,,Not Specified,Not Specified,Jaipur,Rajasthan,Not Specified,Talent Acquisition & Recruitment,4,5000.0,7500.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-jaipur-at-humanhire-corp1785237996,4.0,Medium-term,Paid,6250.0
A34,Talent Acquisition,HumanHire Corp,,Not Specified,Not Specified,Jaipur,Rajasthan,Not Specified,Talent Acquisition & Recruitment,4,8000.0,11500.0,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-jaipur-at-humanhire-corp1785238009,4.0,Medium-term,Paid,9750.0
A35,Talent Acquisition,Traya Health,Healthcare,Startup,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,15000.0,20000.0,Internshala,https://internshala.com/internship/detail/talent-acquisition-internship-in-mumbai-at-traya-health1785475588,3.0,Medium-term,Paid,17500.0
A36,Human Resources,Tanvi Chauhan,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,8000.0,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-tanvi-chauhan1785334962,6.0,Long-term,Paid,
A37,Human Resources,Potens IT Services & Consultancy,,Consulting,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,10000.0,15000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-potens-it-services-consultancy1785358884,6.0,Long-term,Paid,12500.0
A38,Human Resources,BNM Business Solutions LLP,,Consulting,Not Specified,Thane,Maharashtra,Not Specified,Talent Acquisition & Recruitment,3,7500.0,9000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-bnm-business-solutions-llp1785388437,3.0,Medium-term,Paid,8250.0
A39,Human Resources,Medius Technologies Private Limited,,Not Specified,Not Specified,Thane,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,9500.0,10000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-medius-technologies-private-limited1784537363,6.0,Long-term,Paid,9750.0
A40,Human Resources,Eduminatti,Education,Startup,Not Specified,Dehradun,Uttarakhand,Not Specified,Talent Acquisition & Recruitment,2,2000.0,2500.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-dehradun-at-eduminatti1784515737,2.0,Short-term,Paid,2250.0
A41,Recruitment Consultant,Career Crafterz,,Not Specified,Not Specified,Faridabad,Haryana,Not Specified,Talent Acquisition & Recruitment,6,10000.0,,Internshala,https://internshala.com/internship/detail/recruitment-consultant-internship-in-faridabad-at-career-crafterz1785564833,6.0,Long-term,Paid,
