Internship_id,Internship_Title,Company_Name,Industry,Company_Type,Internship_Type,City,State,Work_Mode,Department,Duration,Stipend_Min,Stipend_Max,Source_Platform,Post_Link,Duration_Months,Duration_Category,Stipend_Status,Average_Stipend,City_Clean,State_Clean,Stipend_Flag,Stipend_Range,Stipend_Midpoint,Has_Stipend,Is_Remote,Is_Hybrid,Is_Onsite,Is_Full_Time,Is_Part_Time,Skill_Count,Technical_Skill_Count,Soft_Skill_Count,HR_Tool_Count,Education_Level
A1,HR Admin,Gaitworks Integrated Private Limited,,Private Limited,Not Specified,Gurgaon,Haryana,Not Specified,HR Operations,6,10000.0,15000.0,Internshala,https://internshala.com/internship/detail/human-resource-office-administration-internship-in-gurgaon-at-gaitworks-integrated-private-limited1784694727,6.0,Long-term,Paid,12500.0,Gurugram,Haryana,Normal,5000.0,12500.0,1,0,0,0,0,0,9,5,4,0,Other
A2,HR Admin,Sykam Assets Management Private Limited,,Not Specified,Not Specified,Hyderabad,Telangana,Not Specified,HR Operations,4,7000.0,7001.0,Internshala,https://internshala.com/internship/detail/hr-admin-internship-in-hyderabad-at-sykam-assets-management-opc-private-limited1782900829,4.0,Medium-term,Paid,7000.5,Hyderabad,Telangana,Normal,1.0,7000.5,1,0,0,0,0,0,9,2,7,0,Other
A3,Human Resources,Sanyukt Organisation,NGO,NGO,Not Specified,,,Remote,Talent Acquisition & Recruitment,1,0.0,,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-sanyukt-organisation1785685827,1.0,Short-term,Unpaid,,Not Specified,Not Specified,Not Specified,,,0,1,0,0,0,0,5,1,4,0,Other
A4,Recruitment Consultant,Reliable Allied Services,,Not Specified,Not Specified,,Delhi,Not Specified,Talent Acquisition & Recruitment,6,6500.0,12000.0,Internshala,https://internshala.com/internship/detail/recruitment-consultant-internship-in-multiple-locations-at-reliable-allied-services1785330250,6.0,Long-term,Paid,9250.0,Not Specified,Delhi,Normal,5500.0,9250.0,1,0,0,0,0,0,2,2,0,0,Other
A5,Human Resources,ViralChilly,,Not Specified,Not Specified,Jaipur,Rajasthan,Not Specified,Talent Acquisition & Recruitment,4,3000.0,5000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-jaipur-at-viralchilly1785733327,4.0,Medium-term,Paid,4000.0,Jaipur,Rajasthan,Normal,2000.0,4000.0,1,0,0,0,0,0,11,5,6,0,Other
A6,Human Resources,Pi42,Fintech,Startup,Not Specified,Bangalore,Karnataka,Not Specified,Talent Acquisition & Recruitment,6,20000.0,25000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-bangalore-at-pi421785758562,6.0,Long-term,Paid,22500.0,Bengaluru,Karnataka,Normal,5000.0,22500.0,1,0,0,0,0,0,4,1,2,1,Other
A7,Human Resources,Absolute People Screen Private Limited,,Not Specified,Not Specified,Faridabad,Haryana,Not Specified,Talent Acquisition & Recruitment,6,11000.0,14000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-absolute-people-screen-private-limited1784268254,6.0,Long-term,Paid,12500.0,Faridabad,Haryana,Normal,3000.0,12500.0,1,0,0,0,0,0,1,1,0,0,Other
A8,Human Resources,Futurewise Technologies Private Limited,,Not Specified,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,4,6000.0,8000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-futurewise-technologies-private-limited1784719135,4.0,Medium-term,Paid,7000.0,Mumbai,Maharashtra,Normal,2000.0,7000.0,1,0,0,0,0,0,3,2,0,1,Other
A9,Human Resources,Hope Behind Tails Foundation,NGO,NGO,Not Specified,,,Remote,Talent Acquisition & Recruitment,3,0.0,,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-hope-behind-tails-foundation1785756444,3.0,Medium-term,Unpaid,,Not Specified,Not Specified,Not Specified,,,0,1,0,0,0,0,2,1,1,0,Other
A10,Human Resources,Astrorize,,Not Specified,Not Specified,Hyderabad,Telangana,Hybrid,Talent Acquisition & Recruitment,6,7000.0,14000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-astrorize1785745701,6.0,Long-term,Paid,10500.0,Hyderabad,Telangana,Normal,7000.0,10500.0,1,0,1,0,0,0,3,1,2,0,Other
A11,Human Resources,Grasim Industries Limited,Manufacturing,MNC,Not Specified,Mumbai,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,5000.0,8000.0,Internshala,https://internshala.com/internship/detail/hr-internship-in-mumbai-at-grasim-industries-limited1785497508,6.0,Long-term,Paid,6500.0,Mumbai,Maharashtra,Normal,3000.0,6500.0,1,0,0,0,0,0,1,0,0,1,Other
A12,Human Resources,Atlas Copco India Private Limited,Manufacturing,MNC,Not Specified,Pune,Maharashtra,Not Specified,Talent Acquisition & Recruitment,6,24000.0,25000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-atlas-copco-india-private-limited1785476482,6.0,Long-term,Paid,24500.0,Pune,Maharashtra,Normal,1000.0,24500.0,1,0,0,0,0,0,2,2,0,0,Other
A13,Human Resources,Justdial Limited,IT / Internet,MNC,Not Specified,Chennai,Tamil Nadu,Not Specified,Talent Acquisition & Recruitment,6,10000.0,20000.0,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-chennai-at-justdial-limited1785328025,6.0,Long-term,Paid,15000.0,Chennai,Tamil Nadu,Normal,10000.0,15000.0,1,0,0,0,0,0,13,10,3,0,Other
A14,Human Resources,SOS Children's Villages of India,NGO,NGO,Not Specified,,Delhi,Not Specified,Talent Acquisition & Recruitment,1,0.0,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-sos-childrens-villages-of-india1785320168,1.0,Short-term,Unpaid,,Not Specified,Delhi,Not Specified,,,0,0,0,0,0,0,12,6,5,1,Other
A15,Talent Acquisition,Sharda Motors Industries,,Not Specified,Not Specified,Delhi,Delhi,Hybrid,Talent Acquisition & Recruitment,2,2000.0,,Internshala,https://internshala.com/internship/detail/part-time-talent-acquisition-internship-in-okhla-at-sharda-motors-industries1785240260,2.0,Short-term,Paid,,Delhi,Delhi,Not Specified,,,0,0,1,0,0,0,3,3,0,0,Other
