Internship_id,Intrnship_Title,Company_Name,Industry,Company_Type,Internship_Type,City,State,Work_Mode,Department,Duration,Stipend_Min,Stipend_Max,Source_Platform,Post_Link
A1,HR Admin,Gaitworks Integrated Private Limited,,Private Limited,,Gurgaon,Haryana,,HR Operations,6,10000,15000,Internshala,https://internshala.com/internship/detail/human-resource-office-administration-internship-in-gurgaon-at-gaitworks-integrated-private-limited1784694727
A2,HR Admin,Sykam Assets Management Private Limited,,,,Hyderabad,Telangana,,HR Operations,4,7000,7001,Internshala,https://internshala.com/internship/detail/hr-admin-internship-in-hyderabad-at-sykam-assets-management-opc-private-limited1782900829
A3,Human Resources,Sanyukt Organisation,NGO,NGO,,,,Remote,Talent Acquisition & Recruitment,1,Unpaid,,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-sanyukt-organisation1785685827
A4,Recruitment Consultant,Reliable Allied Services,,,,,Delhi,,Talent Acquisition & Recruitment,6,6500,12000,Internshala,https://internshala.com/internship/detail/recruitment-consultant-internship-in-multiple-locations-at-reliable-allied-services1785330250
A5,Human Resources,ViralChilly,,,,Jaipur,Rajasthan,,Talent Acquisition & Recruitment,4,3000,5000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-jaipur-at-viralchilly1785733327
A6,Human Resources,Pi42,Fintech,Startup,,Bangalore,Karnataka,,Talent Acquisition & Recruitment,6,20000,25000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-bangalore-at-pi421785758562
A7,Human Resources,Absolute People Screen Private Limited,,,,Faridabad,Haryana,,Talent Acquisition & Recruitment,6,11000,14000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-absolute-people-screen-private-limited1784268254
A8,Human Resources,Futurewise Technologies Private Limited,,,,Mumbai,Maharashtra,,Talent Acquisition & Recruitment,4,6000,8000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-futurewise-technologies-private-limited1784719135
A9,Human Resources,Hope Behind Tails Foundation,NGO,NGO,,,,Remote,Talent Acquisition & Recruitment,3,Unpaid,,Internshala,https://internshala.com/internship/detail/work-from-home-human-resources-hr-internship-at-hope-behind-tails-foundation1785756444
A10,Human Resources,Astrorize,,,,Hyderabad,Telangana,Hybrid,Talent Acquisition & Recruitment,6,7000,14000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-multiple-locations-at-astrorize1785745701
A11,Human Resources,Grasim Industries Limited,Manufacturing,MNC,,Mumbai,Maharashtra,,Talent Acquisition & Recruitment,6,5000,8000,Internshala,https://internshala.com/internship/detail/hr-internship-in-mumbai-at-grasim-industries-limited1785497508
A12,Human Resources,Atlas Copco India Private Limited,Manufacturing,MNC,,Pune,Maharashtra,,Talent Acquisition & Recruitment,6,24000,25000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-pune-at-atlas-copco-india-private-limited1785476482
A13,Human Resources,Justdial Limited,IT / Internet,MNC,,Chennai,Tamil Nadu,,Talent Acquisition & Recruitment,6,10000,20000,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-chennai-at-justdial-limited1785328025
A14,Human Resources,SOS Children's Villages of India,NGO,NGO,,,Delhi,,Talent Acquisition & Recruitment,1,Unpaid,,Internshala,https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-sos-childrens-villages-of-india1785320168
A15,Talent Acquisition,Sharda Motors Industries,,,,Delhi,Delhi,Hybrid,Talent Acquisition & Recruitment,2,2000,,Internshala,https://internshala.com/internship/detail/part-time-talent-acquisition-internship-in-okhla-at-sharda-motors-industries1785240260
A16,Recruitment,Team Management Services,,,,Thane,Maharashtra,,Talent Acquisition & Recruitment,6,7000,10000,Internshala,https://internshala.com/internship/detail/recruitment-internship-in-multiple-locations-at-team-management-services-tms1785233265
