Internship_id,Intrnship_Title,Education_Required
A1,HR Admin,
A2,HR Admin,
A3,Human Resources,
A4,Recruitment Consultant,
A5,Human Resources,
A6,Human Resources,
A7,Human Resources,
A8,Human Resources,
A9,Human Resources,
A10,Human Resources,
A11,Human Resources,
A12,Human Resources,
A13,Human Resources,
A14,Human Resources,
A15,Talent Acquisition,
A16,Recruitment,
A17,HR Operations,
A18,HR Trainee,
A19,Human Resources,
A20,Human Resources,
A21,Human Resources,
A22,Human Resources,
A23,Human Resources,
A24,Human Resources,
A25,Human Resources,
A26,HR Admin,
A27,Human Resources,
A28,HR Generalist,
A29,Human Resources,
A30,Human Resources,
A31,Human Resources,
A32,Human Resources,
A33,Human Resources,
A34,Talent Acquisition,
A35,Talent Acquisition,
A36,Human Resources,
A37,Human Resources,
A38,Human Resources,
A39,Human Resources,
A40,Human Resources,
A41,Recruitment Consultant,
A42,Talent Acquisition,
A43,Human Resources,
A44,Talent Acquisition,
A45,Talent Acquisition,
A46,Recruitment,
A47,Talent Acquisition,
A48,Campus Relations,
A49,Talent Acquisition,
A50,Human Resources,
A51,Human Resources,
A52,Recruitment,
A53,Recruitment,
A54,Recruitment Consultant,
A55,Human Resources,
A56,Human Resources,
A57,Human Resources,
A58,Human Resources,
A59,Human Resources,
A60,Human Resources,
A61,Human Resources,
A62,Human Resources,
A63,HR Admin,
A64,Recruitment,
A65,HR Operations,
A66,Recruitment,
A67,Recruitment,
A68,Human Resources,
A69,HR,
A70,Human Resources,
A71,Human Resources,
A72,Human Resources,
A73,Human Resources,
A74,Human Resources,
A75,Recruitment,
A76,Recruitment,
A77,Human Resources,
A78,Recruitment,
A79,Talent Acquisition,
A80,Recruitment,
A81,Human Resources,
A82,Recruitment,
A83,Human Resources,
A84,Human Resources,
A85,Human Resources,
A86,Human Resources,
A87,Talent Acquisition,
A88,Recruitment,
A89,Human Resources,
A90,Human Resources,
A91,Recruitment,
A92,Human Resources,
A93,HR Operations,
A94,Recruitment Consultant,
A95,Talent Acquisition,
A96,Associate Recruiter,
A97,Recruitment,
A98,Human Resources,
A99,Human Resources,
A100,Recruitment,
A101,Human Resources,
A102,Human Resources,
A103,Human Resources,
A104,HR Generalist,
A105,Human Resources,
A106,Human Resources,
A107,Human Resources,
A108,Talent Acquisition,
A109,Human Resources,
A110,HR Psychology,
A111,Recruitment,
A112,Recruitment,
A113,Human Resources,
A114,Human Resources,
A115,Human Resources,
A116,HR Generalist,
A117,Human Resources,
A118,Human Resources,
A119,HR Generalist,
A120,HR Solutions Analyst,
A121,HR,
A122,HR,
A123,Human Capital Associate,
A124,Human Resources,Graduate
A125,Human Resources,Graduate
A126,Human Resources,B.Com
A126,Human Resources,BA
A127,Recruitment,B.Com
A127,Recruitment,BMS
A128,Recruitment,Diploma
A128,Recruitment,Graduate
A129,Recruitment,Business Administration
A130,Talent Acquisition,Graduate
A131,HR,MBA
A131,HR,PGDM
A131,HR,Master's
A132,Recruitment,Business Administration
A132,Recruitment,Psychology
A133,HR,BBA
A133,HR,HR
A134,HR Admin,Graduate
A135,HR Intern,Graduate
A136,HR Intern,Graduate
A137,HR Intern,Graduate
A138,HR Intern,B.Com
A139,HR Intern,BA
A140,HR Recruiter Intern,B.Com
A141,HR Recruiter Intern,BMS
A142,Talent Acquisition Intern,Diploma
A143,Talent Acquisition Intern,B.Com
A144,Talent Acquisition Intern,12th Pass
A145,Talent Acquisition Intern,Graduate
A146,HR Recruiter Intern,Graduate (HR / Business Administration)
A147,HR Recruiter Intern,Graduate
A148,HR & Digital Marketing Intern,MBA
A149,HR & Digital Marketing Intern,PGDM
A150,HR & Digital Marketing Intern,M.Com
A151,HR Recruiter Intern,Graduate (HR / Business Administration / Psychology)
A152,HR Intern,Graduate (HR / Business Administration / Psychology)
A153,HR Intern,Graduate (HR / Business Administration / Psychology)
A154,HR Intern,Graduate (Business/HR)
A155,HR Coordination Intern,Graduate
A156,HR Coordination Intern,Final-year Student
A157,Campus Relations,
A158,Human Resources,
A159,HR,MBA
A160,Human Resources,MBA
A161,Human Resources,
A162,Human Resources,Graduate
A163,Talent Acquisition,MBA
A163,Talent Acquisition,BBA
A163,Talent Acquisition,Graduate
A164,Recruitment,
A165,HR trainee,MBA
A166,Human Resources,
A167,Human Resources,MBA
A168,Human Resources,
A169,Human Resources,
A170,Human Resources,Master's Degree
A170,Human Resources,Bachelor's Degree
A171,Human Resources,
A172,Human Resources,MBA
A173,Human Resources,MBA
A173,Human Resources,BBA
A174,Human Resources,
A175,Human Resources,MBA
A176,Human Resources,MBA
A177,Human Resources,MBA
A177,Human Resources,Postgraduate
A177,Human Resources,Any Degree
A177,Human Resources,Graduate
A178,Recruitment,
A179,Talent Acquisition,
A180,Human Resources,
A181,Human Resources,
A182,Talent Acquisition,
A183,Human Resources,
A184,Human Resources,
A185,HR Psychology,Bachelor's Degree
A186,Human Resources,
A187,Human Resources,
A188,Human Resources,
A189,Human Resources,
A190,Human Resources,
A191,Talent Acquisition,MBA
A192,Human Resources,
A193,Human Resources,
A194,HR Generalist,
A195,Human Resources,
A196,HR admin,
A197,Talent Acquisition,MBA
A197,Talent Acquisition,BBA
A197,Talent Acquisition,Postgraduate
A197,Talent Acquisition,Graduate
A198,Recruitment Consultant,MBA
A198,Recruitment Consultant,Graduate
A199,Human Resources,
A200,Talent Acquisition,MBA
A201,Talent Acquisition,
A202,Recruitment,
A203,Talent Acquisition,
A204,Campus Relations,MBA
A205,Recruitment Consultant,
A206,Talent Acquisition,
A207,Human Resources,
A208,Human Resources,
A209,Recruitment,
A210,Recruitment,MBA
A211,Talent Acquisition,MBA
A212,Human Resources,MBA
A213,Talent Acquisition,
A214,Talent Acquisition,
A215,Human Resources,
A216,Human Resources,Graduate
A217,Human Resources,
A218,Human Resources,
A219,Recruitment Consultant,
A220,Recruitment,
A221,Recruitment Consultant,
A222,Recruitment,
A223,Human Resources,
A224,Human Resources,Any Degree
A224,Human Resources,Graduate
A225,Human Resources,
A226,Recruitment,
A227,Human Resources,
A228,Human Resources,MBA
A228,Human Resources,BBA
A229,Human Resources,MBA
A229,Human Resources,BBA
A229,Human Resources,Graduate
A230,Human Resources,
A231,Human Resources,MBA
A232,HR admin,
A233,Recruitment,Bachelor's Degree
A234,Recruitment,Bachelor's Degree
A234,Recruitment,Graduate
A235,HR,
A236,Human Resources,MBA
A236,Human Resources,BBA
A237,Human Resources,
A238,Recruitment,
A239,Recruitment,
A240,Human Resources,MBA
A240,Human Resources,Master's Degree
A240,Human Resources,Bachelor's Degree
A241,Recruitment,MBA
A241,Recruitment,BBA
A241,Recruitment,B.Tech
A242,Talent Acquisition,MBA
A243,Recruitment,
A244,Human Resources,
A245,Recruitment,
A246,Human Resources,MBA
A247,Human Resources,
A248,Talent Acquisition,
A249,Recruitment,
A250,Human Resources,
A251,Human Resources,
A252,Human Resources,
A253,Human Resources,
A254,Human Resources,
A255,Recruitment,
A256,Human Resources,
A257,Recruitment,MBA
A257,Recruitment,BBA
A257,Recruitment,Any Degree
A257,Recruitment,Graduate
A258,Human Resources,
A259,Human Resources,
A260,Recruitment,
A261,Human Resources,
A262,Talent Acquisition,
A263,Human Resources,
A264,Recruitment,
A265,Human Resources,MBA
A266,Human Resources,
A267,HR operations,Bachelor's Degree
A268,Human Resources,
A269,Human Resources,
A270,Human Resources,
A271,Recruitment,Any Degree
A271,Recruitment,Graduate
A272,Recruitment Consultant,
A273,Human Resources,
A274,Talent Acquisition,
A275,Associate Recruiter,Master's Degree
A275,Associate Recruiter,Bachelor's Degree
A276,Human Resources,
A277,Recruitment,
A278,Human Resources,MBA
A279,Recruitment,MBA
A280,Human Resources,
A281,Human Resources,
A282,Human Resources,MBA
A283,Human Resources,
A284,HR operations,
A285,Human Resources,MBA
A286,Human Resources,MBA
A286,Human Resources,BBA
A287,Human Resources,
A288,Human Resources,
A289,Human Resources,
A290,HR Psychology,
A291,Recruitment,
A292,Human Resources,
A293,Human Resources,
A294,Human Resources,
A295,HR Generalist,
A296,Human Resources,Graduate
A297,Human Resources,MBA
A298,Human Resources,
A299,Talent Acquisition,
A300,Human Resources,
A301,Talent Acquisition,
A302,Recruitment,MBA
A303,Human Resources,Master's Degree
A303,Human Resources,Bachelor's Degree
