Internship_id,Intrnship_Title,Attribute,Skills
A1,HR Admin,Technical Skills,Excel
A1,HR Admin,Technical Skills,MS Office
A1,HR Admin,Technical Skills,MS Word
A1,HR Admin,Technical Skills,Recruitment
A1,HR Admin,Technical Skills,Screening
A1,HR Admin,Soft Skills,Attention to Detail
A1,HR Admin,Soft Skills,Communication
A1,HR Admin,Soft Skills,English
A1,HR Admin,Soft Skills,Leadership
A2,HR Admin,Technical Skills,MS Office
A2,HR Admin,Technical Skills,Recruitment
A2,HR Admin,Soft Skills,Attention to Detail
A2,HR Admin,Soft Skills,Communication
A2,HR Admin,Soft Skills,Initiative
A2,HR Admin,Soft Skills,Leadership
A2,HR Admin,Soft Skills,Presentation
A2,HR Admin,Soft Skills,Problem Solving
A2,HR Admin,Soft Skills,Teamwork
A3,Human Resources,Technical Skills,Recruitment
A3,Human Resources,Soft Skills,Communication
A3,Human Resources,Soft Skills,Initiative
A3,Human Resources,Soft Skills,Organizational
A3,Human Resources,Soft Skills,Presentation
A4,Recruitment Consultant,Technical Skills,Recruitment
A4,Recruitment Consultant,Technical Skills,Screening
A5,Human Resources,Technical Skills,Excel
A5,Human Resources,Technical Skills,MS Word
A5,Human Resources,Technical Skills,Recruitment
A5,Human Resources,Technical Skills,Reporting
A5,Human Resources,Technical Skills,Screening
A5,Human Resources,Soft Skills,Communication
A5,Human Resources,Soft Skills,English
A5,Human Resources,Soft Skills,Initiative
A5,Human Resources,Soft Skills,Interpersonal
A5,Human Resources,Soft Skills,Leadership
A5,Human Resources,Soft Skills,Ownership
A6,Human Resources,Technical Skills,Recruitment
A6,Human Resources,Soft Skills,Communication
A6,Human Resources,Soft Skills,Initiative
A6,Human Resources,HR Tools,Payroll
A7,Human Resources,Technical Skills,Screening
A8,Human Resources,Technical Skills,MS Office
A8,Human Resources,Technical Skills,Recruitment
A8,Human Resources,HR Tools,HRMS
A9,Human Resources,Technical Skills,Recruitment
A9,Human Resources,Soft Skills,Initiative
A10,Human Resources,Technical Skills,Recruitment
A10,Human Resources,Soft Skills,Initiative
A10,Human Resources,Soft Skills,Ownership
A11,Human Resources,HR Tools,ATS
